name,album,artist,release_date,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Tier,Sehnsucht,Rammstein,1997-08-25,55,0S2UfCA5A275xChEi9a6vU,0.591,0.942,7,-4.975,1,0.0576,0.00429,0.0558,0.18,0.456,95.084,226067,4
Fear of the Dark - 2015 Remaster,Fear of the Dark (2015 Remaster),Iron Maiden,1992,68,6p8eFfPw3nQkf37aT3AkmK,0.308,0.866,2,-5.671,0,0.059,0.000739,0.00141,0.232,0.227,109.825,438120,4
Night Witches,Heroes,Sabaton,2014-05-16,62,1xBRGN41DWx2vwNFY5CvGe,0.546,0.92,5,-4.83,0,0.0592,0.00661,3.13e-06,0.904,0.265,95.996,181333,4
Sad But True,Metallica,Metallica,1991-08-12,67,1PhLYngBKbeDtdmDzCg3Pb,0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,323933,4
Can You Feel My Heart,Sempiternal (Expanded Edition),Bring Me The Horizon,2013-04-01,78,0WSa1sucoNRcEeULlZVQXj,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,228147,5
Ace of Spades,Ace of Spades (Expanded Edition),Motörhead,1980-11-08,72,6EPRKhUOdiFSQwGBRBbvsZ,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862,166920,4
Eyeless,Slipknot,Slipknot,1999-06-12,53,2yYX7KbfWZrezWVW1vN3iz,0.293,0.997,4,-4.364,0,0.217,0.000463,3.95e-05,0.415,0.13,100.348,236360,4
Yggdrasil,Prophecy of Ragnarök,Brothers of Metal,2017-04-01,61,3V417nSM4Ilh0Tt5CqustV,0.469,0.743,1,-5.57,0,0.0272,0.00222,0.000111,0.276,0.481,86.953,272292,4
Spillways,IMPERA,Ghost,2022-03-11,64,0WHtcCpZnoyFlQg3Mf2cdN,0.575,0.868,5,-5.004,0,0.0319,0.000207,0.00294,0.0584,0.804,128.069,196947,4
Freak On a Leash,Follow The Leader,Korn,1998-08-18,73,6W21LNLz9Sw7sUSNWMSHRu,0.353,0.898,2,-5.877,1,0.052,2.23e-05,0.105,0.39,0.525,103.293,255733,4
Shotgun Blues,Servant Of The Mind (Deluxe),Volbeat,2021-12-03,65,2SMNxADB0ffqaIoOwl2x06,0.528,0.947,2,-7.175,1,0.0518,9.31e-06,0.0632,0.165,0.661,149.082,267827,4
The Only Thing I Know For Real - Maniac Agenda Mix,METAL GEAR RISING REVENGEANCE Vocal Tracks Selection,Various Artists,2013-02-20,69,6y87Q8nkhHP2YqowavLdPA,0.459,0.974,11,-6.441,1,0.0587,1.93e-06,0.557,0.216,0.546,144.986,146333,4
Wrong Side Of Heaven,The Wrong Side Of Heaven & The Righteous Side Of Hell,Five Finger Death Punch,2013-01-01,14,3kIUfM6UvDTKfQqIhmV7El,0.48,0.929,4,-4.575,0,0.0893,0.00835,0.0,0.218,0.545,150.009,271000,4
The Last Stand,The Last Stand,Sabaton,2016-08-19,65,0bUgTRe5st6TMbRCEjKezX,0.519,0.935,7,-5.656,0,0.0423,0.00454,0.0,0.0661,0.498,104.044,235840,4
Hardrock Hallelujah,The Arockalypse,Lordi,2006,37,3vJyOVm78J3sMi8rzb6Z9m,0.551,0.9,3,-5.469,1,0.0499,0.000251,0.00143,0.0748,0.515,123.034,246826,4
FEEL NOTHING,DISPOSE,The Plot In You,2018-02-16,75,4xDwCYhobDehSBGUmd5H6Y,0.448,0.825,4,-5.307,0,0.0621,0.00353,0.0,0.108,0.226,144.17,216827,4
Rainbow In The Dark,Holy Diver,Dio,1983,63,5qFxuUIAwJlzO60vqOiL7y,0.508,0.912,9,-8.049,0,0.0368,7.06e-05,0.403,0.0492,0.682,117.582,252693,4
Custer,.5: The Gray Chapter (Special Edition),Slipknot,2014-10-15,69,3GiJq4AQK7324mfIQbpiTf,0.407,0.98,7,-1.58,1,0.107,0.00174,0.000112,0.119,0.537,131.066,254467,4
Du hast,Sehnsucht,Rammstein,1997-08-25,71,5awDvzxWfd53SSrsRZ8pXO,0.64,0.922,9,-6.283,0,0.0385,0.00369,0.055,0.332,0.716,125.105,234227,4
One,...And Justice For All,Metallica,1988-08-25,70,5IX4TbIR5mMHGE4wiWwKW0,0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,447440,3
Mascara,Around the Fur,Deftones,1997-10-27,65,4cLdpErILMO8Db8pQVAVcZ,0.472,0.446,5,-7.416,0,0.0354,0.00273,0.0606,0.091,0.0456,77.562,225293,4
Dragula,Hellbilly Deluxe,Rob Zombie,1998-01-01,71,6Nm8h73ycDG2saCnZV8poF,0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03,222827,4
Rats,Prequelle,Ghost,2018-06-01,54,4u39IY2QjY1utpNCCF4is0,0.522,0.944,2,-5.731,0,0.0936,6.11e-06,0.482,0.135,0.236,124.029,261573,4
The Trooper - 2015 Remaster,Piece of Mind (2015 Remaster),Iron Maiden,1983,71,4OROzZUy6gOWN4UGQVaZMF,0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,252733,4
Bismarck,Bismarck,Sabaton,2019-05-17,63,39m87lOMd5ccENPVvAT7gH,0.505,0.859,6,-5.546,0,0.0431,0.00346,0.0012,0.263,0.434,95.036,313984,4
Mother,Danzig,Danzig,1988-01-01,72,7txxAtOMwLLnQTpKeBL6bp,0.365,0.763,11,-9.45,0,0.0591,0.00726,0.000457,0.0865,0.342,148.366,204867,4
Break Stuff,Significant Other,Limp Bizkit,1999,73,5cZqsjVs6MevCnAkasbEOX,0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948,166707,4
Last Man Standing,Any Means Necessary,HammerFall,2009-02-06,58,18S33odAheWBHbVAefiRLM,0.533,0.803,2,-6.702,0,0.0376,0.0447,0.0,0.392,0.165,109.998,270233,4
